company_name,position_name,salary,city,work_years,education,advantage,desc,mark
软通动力,Java,9k-18k,西安,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/7bad62006c4e95141nF-3Nm5E1E~.html,0
软通动力,java,12k-22k,杭州,3-5年,大专,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/931a301c3d2361581nF50tu7EVA~.html,0
掌门1对1,Java,25k-50k,上海,1-3年,本科,"节日福利,年终奖,孝心奖,带薪年假,零食下午茶,定期体检,交通补助,通讯补贴,五险一金",https://www.zhipin.com/job_detail/1928f6a35f8622861XF40t25E1o~.html,0
武汉佰钧成,Java,12k-16k,成都,3-5年,大专,"节日福利,补充医疗保险,带薪年假,零食下午茶,定期体检,五险一金",https://www.zhipin.com/job_detail/2ace3f9a41109f081XB70964FlM~.html,0
软通动力,Java,8k-15k,西安,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/f05fa9229b795f2a1XZ839i-EVE~.html,0
蚂蚁金服,Java,20k-40k,上海,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/ce5c3000090bf1b31Hd609y7FVQ~.html,0
蚂蚁金服,Java,16k-30k,杭州,应届生,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/34249090b829e1dd1Hd60920ElM~.html,0
好未来,Java,15k-30k,北京,3-5年,本科,"节日福利,年终奖,餐补,商业保险,补充医疗保险,带薪年假,定期体检,不定期培训,全勤奖,五险一金",https://www.zhipin.com/job_detail/009f001f48cb5cdf1HV-0t67EVo~.html,0
好未来,Java,30k-50k,北京,5-10年,本科,"节日福利,年终奖,餐补,商业保险,补充医疗保险,带薪年假,定期体检,不定期培训,全勤奖,五险一金",https://www.zhipin.com/job_detail/3fe28cb8a8bb2f1d1HV-0t66FFs~.html,0
浪潮云服务,Java,5k-10k,南宁,1-3年,本科,"年终奖,员工旅游,带薪年假,免费班车,五险一金",https://www.zhipin.com/job_detail/ca3ab3d4fe0005341XZ73N-1FVA~.html,0
浪潮云服务,Java,8k-12k,广州,1-3年,本科,"年终奖,员工旅游,带薪年假,免费班车,五险一金",https://www.zhipin.com/job_detail/36dc00b9f5d2f9d31XZ73ty9Fls~.html,0
亚信中国,Java,9k-18k,北京,3-5年,本科,"不打卡,地铁周边",https://www.zhipin.com/job_detail/d76b37ed64e324911nF43tq_FQ~~.html,0
蚂蚁金服,Java,25k-50k,上海,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/a90ff9a5d166e8661Xxz3Nq4FFo~.html,0
苏宁,Java,12k-17k,南京,3-5年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,交通补助,通讯补贴,免费班车,五险一金",https://www.zhipin.com/job_detail/17be9295138250fb1XV73N26EFY~.html,0
软通动力,Java,15k-30k,南京,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/9d807a559672fdbb1XV609u0E1U~.html,0
阿里巴巴集团,Java,20k-40k,杭州,3-5年,本科,"节日福利,年终奖,餐补,保险,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/26273f37bc1bc55f1nB53NS1Elo~.html,0
Suning,Java,16k-28k,南京,5-10年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,交通补助,通讯补贴,五险一金",https://www.zhipin.com/job_detail/18dde1acd345f0851HR42d-1EFc~.html,0
蚂蚁金服,Java,25k-50k,上海,3-5年,本科,"年终奖,餐补,免费班车,补充医疗保险,五险一金,带薪年假,零食下午茶,定期体检,交通补助,股票期权,员工旅游,加班补助",https://www.zhipin.com/job_detail/8be70087fe31e4a91Xxy29-6EFE~.html,0
蚂蚁金服,Java,20k-40k,成都,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/4ec3a50d74c3c8821Xd509W6F1Q~.html,0
软通动力,Java,7k-14k,济南,1-3年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/5f0f6b5cf2fafe4a1XN729y-FVM~.html,0
苏宁云商,Java,20k-40k,南京,3-5年,本科,"节日福利,年终奖,餐补,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,通讯补贴,免费班车,加班补助",https://www.zhipin.com/job_detail/27629ae418a61fea0XR50ty6Fw~~.html,0
海康威视,Java,12k-18k,杭州,3-5年,本科,"节日福利,年终奖,餐补,补充医疗保险,带薪年假,零食下午茶,定期体检,交通补助,通讯补贴,员工旅游,五险一金",https://www.zhipin.com/job_detail/3e3b1efe207382181XZ52dq0E1U~.html,0
苏宁,Java,15k-30k,南京,3-5年,大专,"节日福利,年终奖,餐补,带薪年假,定期体检,交通补助,通讯补贴,免费班车,五险一金",https://www.zhipin.com/job_detail/a2e7c96be2af01321XV53di5GFM~.html,0
软通动力,Java,9k-18k,南京,1-3年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/2247ab887567b6861nF509m-FFA~.html,0
华为,Java,15k-30k,西安,3-5年,本科,"节日福利,年终奖,补充医疗保险,五险一金,带薪年假,零食下午茶,定期体检,交通补助,股票期权,免费班车,加班补助",https://www.zhipin.com/job_detail/6d2a907e00b516bf1n172N-6Fls~.html,0
浪潮集团,Java,8k-15k,天津,3-5年,本科,,https://www.zhipin.com/job_detail/848b5185acc73a3c0HZ-29q_EQ~~.html,0
苏宁易购,Java,11k-22k,南京,5-10年,学历不限,"节日福利,年终奖,餐补,五险一金,带薪年假,交通补助,通讯补贴,加班补助",https://www.zhipin.com/job_detail/57a5a6240273e88d1nNz29-9Elo~.html,0
VIPKID,Java,20k-40k,北京,3-5年,本科,"节日福利,六险一金,餐补,补充医疗保险,带薪年假,零食下午茶,定期体检,交通补助,通讯补贴,免费班车,五险一金,住房补贴",https://www.zhipin.com/job_detail/f38b5d7e31f0a36f1XF43N24FlU~.html,0
华为,Java,20k-40k,深圳,3-5年,本科,"节日福利,年终奖,补充医疗保险,五险一金,带薪年假,零食下午茶,定期体检,交通补助,股票期权,免费班车,加班补助",https://www.zhipin.com/job_detail/6f6507bb98ed91ab0nZ_3dy0EQ~~.html,0
中科软,Java,8k-15k,北京,1-3年,本科,"节日福利,年终奖,餐补,五险一金,带薪年假,定期体检,员工旅游,加班补助,包吃",https://www.zhipin.com/job_detail/be7e4f85bdbf0c251XRy2t67GFE~.html,0
软通动力,Java,11k-17k,北京,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/67eb4d9f3a0730751Hd93N27Els~.html,0
宇信科技,Java,9k-18k,深圳,1-3年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,股票期权,通讯补贴,员工旅游,加班补助,住房补贴",https://www.zhipin.com/job_detail/a20214c277eb31ad1nB70tS_FFs~.html,0
吉诺股份,Java,12k-15k,福州,3-5年,本科,,https://www.zhipin.com/job_detail/b71ee4961525546a1n142dq1FlM~.html,0
软通动力,Java,10k-18k,上海,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/20de2781e9fb8c681XV50tS8EVM~.html,0
柯莱特集团,Java,12k-18k,北京,3-5年,大专,"节日福利,年终奖,五险一金,带薪年假,零食下午茶,加班补助",https://www.zhipin.com/job_detail/733a53dee6a048f11Hd-3NW_EFI~.html,0
软通动力集团,Java,14k-25k,上海,3-5年,本科,"节日福利,年终奖,带薪年假,定期体检,五险一金",https://www.zhipin.com/job_detail/ccedeec1288352b91X1909y5E1E~.html,0
中软国际,Java,11k-22k,武汉,5-10年,本科,"节日福利,年终奖,五险一金,员工旅游,带薪年假,零食下午茶,定期体检,交通补助,全勤奖,加班补助",https://www.zhipin.com/job_detail/2192c5a6f3cc7aa21XB62Nq_FVM~.html,0
苏宁云商,Java,8k-15k,南京,3-5年,大专,"节日福利,年终奖,餐补,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,通讯补贴,免费班车,加班补助",https://www.zhipin.com/job_detail/0258657fb1bee6191nN53N2-FFc~.html,0
云鸟,Java,10k-15k,北京,1-3年,本科,,https://www.zhipin.com/job_detail/faaf21f11535e6721HR62ti6ElI~.html,0
浩鲸科技,Java,8k-15k,长沙,3-5年,本科,"节日福利,餐补,补充医疗保险,交通补助,免费班车,五险一金",https://www.zhipin.com/job_detail/82ae74d1c72966e11nV92N-4F1M~.html,0
杭州海康威视,Java,18k-30k,杭州,5-10年,本科,"节日福利,餐补,补充医疗保险,带薪年假,零食下午茶,定期体检,交通补助,股票期权,通讯补贴,五险一金",https://www.zhipin.com/job_detail/cee4957cea7500581nBz2Ny8GVc~.html,0
新致软件,Java,11k-22k,上海,3-5年,大专,"年终奖,补充医疗保险,带薪年假,定期体检,交通补助,员工旅游,五险一金",https://www.zhipin.com/job_detail/5966a65fb6b8f51f1Hd93ti0EFQ~.html,0
北京宜通,java,8k-15k,大连,3-5年,本科,"节日福利,五险一金,带薪年假,定期体检,免费班车,加班补助",https://www.zhipin.com/job_detail/90cd7a3ec9d3d0381X152d-7EFE~.html,0
中科软科技,Java,5k-10k,北京,1-3年,本科,"定期体检,五险一金",https://www.zhipin.com/job_detail/0c249c9c7b3270e70XF53di5EQ~~.html,0
乂学教育,Java,15k-30k,上海,5-10年,本科,"节日福利,员工旅游,带薪年假,零食下午茶,全勤奖,五险一金,住房补贴",https://www.zhipin.com/job_detail/69429070b264b4591XF52d-_EFY~.html,0
中软国际,Java,5k-8k,长沙,1年以内,本科,"节日福利,年终奖,五险一金,员工旅游,带薪年假,零食下午茶,定期体检,交通补助,全勤奖,加班补助",https://www.zhipin.com/job_detail/5988fa6ee933e06a1nR92Nu5GFI~.html,0
中软国际,Java,4k-7k,长沙,1-3年,本科,"节日福利,年终奖,五险一金,员工旅游,带薪年假,零食下午茶,定期体检,交通补助,全勤奖,加班补助",https://www.zhipin.com/job_detail/f8190af831893a461XJ409i1GVQ~.html,0
中科软,Java,6k-12k,北京,1-3年,本科,"节日福利,年终奖,餐补,五险一金,带薪年假,定期体检,员工旅游,加班补助,包吃",https://www.zhipin.com/job_detail/895afbdcfd2cd7ba1nx72Nm7GVY~.html,0
软通动力,java,10k-15k,深圳,经验不限,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/5029863eda10fbc51HV939S8GVc~.html,0
苏宁易购,Java,15k-25k,南京,3-5年,本科,"节日福利,年终奖,餐补,补充医疗保险,带薪年假,交通补助,五险一金,住房补贴",https://www.zhipin.com/job_detail/2a38329fd35617261nJ80tm6EVs~.html,0
科大讯飞,Java,10k-15k,合肥,3-5年,本科,"节日福利,年终奖,餐补,免费班车,带薪年假,零食下午茶,定期体检,交通补助,股票期权,通讯补贴,员工旅游,五险一金",https://www.zhipin.com/job_detail/fe8050fd951371c21n1909u4FVI~.html,0
天地伟业,Java,15k-25k,天津,3-5年,本科,"年终奖,餐补,带薪年假,交通补助,通讯补贴,五险一金,住房补贴",https://www.zhipin.com/job_detail/e14000bc71c25ea91nFz3dW8E1M~.html,0
水象,Java,25k-35k,上海,5-10年,本科,"节日福利,零食下午茶,定期体检,员工旅游,五险一金,包吃",https://www.zhipin.com/job_detail/5108ec8dcab816c51HV80tu8FlA~.html,0
OPPO,Java,20k-35k,深圳,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,五险一金,员工旅游,带薪年假,零食下午茶,定期体检,交通补助,通讯补贴,全勤奖,加班补助,住房补贴",https://www.zhipin.com/job_detail/8b4e26c1fddb96101nJy0tq-GFM~.html,0
软通动力,Java,11k-14k,广州,3-5年,大专,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/4cdc4bdd13b6fbce1XR93N-7EVQ~.html,0
上海易宝软件有限公司深圳分公司,Java,10k-15k,东莞,3-5年,本科,,https://www.zhipin.com/job_detail/a6cbcfdfd38090b31HV_3927EFs~.html,0
蚂蚁金服,Java,20k-40k,上海,3-5年,硕士,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/81c9cd6a449706311XJ63tW_E1I~.html,0
蚂蚁金服,Java,20k-40k,杭州,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/8c67584299f015181HV529m_EFM~.html,0
欧珀(OPPO),Java,20k-35k,深圳,3-5年,本科,"公司氛围好,扁平管理,股票期权",https://www.zhipin.com/job_detail/308089a20ffb1a141nJz09u1FlY~.html,0
苏宁云商集团,Java,18k-35k,南京,5-10年,本科,"年终奖,餐补,带薪年假,定期体检,五险一金",https://www.zhipin.com/job_detail/4e10cfd61bceac771nNz29W9EFc~.html,0
蚂蚁金服,Java,20k-40k,杭州,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/051b3a98fd1317ec1Xdy2tm4EVM~.html,0
软通动力信息技术集团,Java,14k-28k,南京,3-5年,本科,"节日福利,年终奖,餐补,免费班车,五险一金,带薪年假,零食下午茶,定期体检,交通补助,通讯补贴,员工旅游,加班补助",https://www.zhipin.com/job_detail/ddb01a40702bc2a51HV43tS7Flc~.html,0
每日优鲜,Java,25k-40k,北京,5-10年,硕士,"补充医疗保险,定期体检,五险一金",https://www.zhipin.com/job_detail/01e0b635dc1a644f1nN729-6FFU~.html,0
杭州海康威视,Java,12k-24k,杭州,5-10年,本科,"节日福利,餐补,补充医疗保险,带薪年假,零食下午茶,定期体检,交通补助,股票期权,通讯补贴,五险一金",https://www.zhipin.com/job_detail/e676ca005a298ac81n182d-8EVY~.html,0
软通动力有限公司,Java,15k-30k,深圳,5-10年,本科,"节日福利,年终奖,餐补,五险一金,带薪年假,零食下午茶,定期体检,加班补助",https://www.zhipin.com/job_detail/6796d1b622ba99a21X183Ny_EVs~.html,0
苏宁易购,Java,10k-20k,南京,3-5年,大专,"节日福利,年终奖,餐补,五险一金,带薪年假,交通补助,通讯补贴,加班补助",https://www.zhipin.com/job_detail/159289d304a1c4c71XBz3d28E1Y~.html,0
软通动力,Java,10k-18k,南京,1年以内,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/7f1b7eb562c441831X1_2dy-EVA~.html,0
菜鸟网络,Java,30k-50k,杭州,3-5年,本科,"年终奖,补充医疗保险,带薪年假,定期体检,股票期权,五险一金",https://www.zhipin.com/job_detail/327e0ca35da37e291nJ80tm-E1o~.html,0
创业软件,Java,8k-15k,泰州,3-5年,大专,"地铁周边,公司氛围好,股票期权,带薪年假",https://www.zhipin.com/job_detail/0dbef6443f1ccb0e1nV60969E1U~.html,0
阿里巴巴高德,Java,20k-30k,北京,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,住房补贴,带薪年假,零食下午茶,定期体检,交通补助,股票期权,员工旅游,五险一金,包吃",https://www.zhipin.com/job_detail/67735e584cd7b66b1nJy3di4F1Y~.html,0
哔哩哔哩-B站,Java,17k-33k,上海,3-5年,本科,"地铁周边,美女如云,领导nice",https://www.zhipin.com/job_detail/7a65427404c95d201nV92tu7E1s~.html,0
昆明尚网科技有限公司,Java,6k-8k,昆明,3-5年,大专,,https://www.zhipin.com/job_detail/3485a6332f16b68a1nR82dm-EVA~.html,0
紫光云,Java,12k-16k,天津,3-5年,本科,"节日福利,年终奖,餐补,带薪年假,定期体检,交通补助,股票期权,通讯补贴,免费班车,五险一金",https://www.zhipin.com/job_detail/ed9a424d3b3e9b4e1HV839-5GVo~.html,0
宇信科技,Java,10k-15k,北京,3-5年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,股票期权,通讯补贴,员工旅游,加班补助,住房补贴",https://www.zhipin.com/job_detail/1b806055b9dac3011nRy2N60EVM~.html,0
软通动力,java,8k-15k,武汉,3-5年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/e93f5487ef27e0e01XR93N65EFo~.html,0
阿里巴巴集团,Java,20k-35k,杭州,3-5年,本科,"节日福利,年终奖,餐补,保险,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/5cc1349662d2bfd81HB-09q7.html,0
宇信科技,JAVA,11k-22k,北京,经验不限,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,股票期权,通讯补贴,员工旅游,加班补助,住房补贴",https://www.zhipin.com/job_detail/698bd500f347721c1Hd50tS7FlI~.html,0
宜信公司,Java,20k-40k,北京,5-10年,本科,"节日福利,年终奖,补充医疗保险,带薪年假,定期体检,员工旅游,五险一金",https://www.zhipin.com/job_detail/90fa5f1df2c142270nZ_3Nm8Fw~~.html,0
创维-RGB电子,Java,15k-25k,深圳,经验不限,本科,"节日福利,年终奖,餐补,员工旅游,零食下午茶,定期体检,交通补助,通讯补贴,免费班车,五险一金,住房补贴",https://www.zhipin.com/job_detail/84be65bf1c37891e1XZ609-8GFU~.html,0
爱奇艺,Java,20k-40k,北京,5-10年,本科,"餐补,补充医疗保险,五险一金,带薪年假,零食下午茶,定期体检,交通补助,加班补助",https://www.zhipin.com/job_detail/19f714b4b7062f7e1n152t64EFQ~.html,0
天猫,Java,15k-30k,杭州,3-5年,本科,"年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金,包吃",https://www.zhipin.com/job_detail/b99324d77da34ca90Hd709q5EQ~~.html,0
软通动力,Java,5k-10k,西安,1-3年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/cd4be31f96e336df1nF-39y-FFI~.html,0
汽车之家,Java,25k-35k,北京,5-10年,本科,"节日福利,年终奖,餐补,补充医疗保险,员工旅游,带薪年假,零食下午茶,定期体检,交通补助,股票期权,全勤奖,五险一金",https://www.zhipin.com/job_detail/c76bf848557b9f571nN_0960GFs~.html,0
阿里巴巴集团,Java,23k-45k,杭州,经验不限,本科,"节日福利,年终奖,餐补,保险,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/25ae2baa3443340f0XJy3dy_GA~~.html,0
万得,Java,11k-20k,南京,3-5年,本科,"节日福利,年终奖,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/6bdd70cf508ae06a1nZ52Nq9Elc~.html,0
去哪儿,Java,14k-25k,北京,3-5年,本科,"节日福利,年终奖,补充医疗保险,五险一金,带薪年假,零食下午茶,全勤奖,加班补助",https://www.zhipin.com/job_detail/437a03c6599534f11nN-0929ElU~.html,0
软通动力,Java,7k-12k,南京,1-3年,本科,"节日福利,年终奖,绩效奖金,带薪年假,零食下午茶,定期体检,免费班车,五险一金",https://www.zhipin.com/job_detail/d4f738785924be431X1529-_EFY~.html,0
武汉佰钧成,Java,15k-25k,兰州,3-5年,本科,"节日福利,补充医疗保险,带薪年假,零食下午茶,定期体检,五险一金",https://www.zhipin.com/job_detail/193d9c793394ea4f1HZz2dm9EFA~.html,0
蚂蚁金服,Java,20k-40k,杭州,5-10年,本科,"节日福利,年终奖,餐补,免费班车,补充医疗保险,带薪年假,定期体检,股票期权,员工旅游,五险一金",https://www.zhipin.com/job_detail/baaf33fde5b28eed1nB62ti8FlE~.html,0
