company_name,position_name,salary,city,work_years,education,advantage,desc,mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
思创科技,java开发工程师,15k-25k,深圳,5-10年,大专,"人性化管理,待遇丰厚",https://www.lagou.com/jobs/5808328.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
链上科技,中高级java工程师,20k-40k,北京,3-5年,本科,"零食水果,14薪,六险一金,扁平管理",https://www.lagou.com/jobs/5178589.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有赞,Java开发工程师,20k-40k,杭州,3-5年,学历不限,"发展空间,企业文化,专业团队",https://www.lagou.com/jobs/5589260.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YIDATEC,java开发工程师,11k-13k,武汉,3-5年,大专,"双休,六险一金",https://www.lagou.com/jobs/5832759.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咸鱼游戏,java开发工程师,10k-20k,深圳,3-5年,大专,"团队nice,奖金丰厚",https://www.lagou.com/jobs/5820775.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市迈科龙电子有限公司,java开发工程师,12k-15k,深圳,3-5年,本科,"双休,五险一金,机会多,前景好",https://www.lagou.com/jobs/5832741.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网新新思,java,11k-12k,深圳,1-3年,学历不限,"入职购买五险一金,周末双休,年终奖等",https://www.lagou.com/jobs/5832923.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慧科集团,Java开发工程师,10k-18k,北京,不限,本科,五险一金,https://www.lagou.com/jobs/5832062.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉佰钧成技术有限公司,java开发工程师,6k-10k,南京,1-3年,本科,"六险一金,加班费,项目奖金",https://www.lagou.com/jobs/5821990.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
达达-京东到家,java开发工程师,17k-33k,北京,3-5年,本科,"新零售,扁平化管理,免费班车",https://www.lagou.com/jobs/5831092.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超级猩猩健身,Java开发工程师,10k-20k,深圳,1-3年,本科,"技术分享,氛围好,加班少,内部活动多",https://www.lagou.com/jobs/5043329.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TutorABC英语,java开发工程师,15k-30k,上海,3-5年,本科,"互联网公司,独立设计团队,贴近业务",https://www.lagou.com/jobs/5829892.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鑫溢网络科技,JAVA,15k-30k,深圳,3-5年,本科,"带薪休假,年终双薪",https://www.lagou.com/jobs/5198251.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdMaster,java开发工程师,18k-30k,上海,3-5年,学历不限,"扁平管理,行业领先,氛围轻松",https://www.lagou.com/jobs/5831669.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
随手科技,java开发工程师,15k-30k,深圳,5-10年,本科,"氛围好,领导好,福利好",https://www.lagou.com/jobs/5677584.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州长亮,JAVA高级开发工程师5-10,15k-25k,杭州,5-10年,本科,"上市企业,薪资福利优,上升空间大",https://www.lagou.com/jobs/5536142.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智慧享联,高级java开发工程师,22k-35k,深圳,5-10年,本科,"自带食堂,自带健身房,出国旅游",https://www.lagou.com/jobs/5495505.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有赞,Java开发工程师-深圳-00053,15k-30k,深圳,3-5年,本科,"全mac,每周分享,BAT大牛,JDK18",https://www.lagou.com/jobs/4971828.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网新新思,Java开发工程师,10k-20k,深圳,3-5年,本科,"福利好,发展空间大",https://www.lagou.com/jobs/5832824.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉佰钧成技术有限公司,java开发工程师,10k-17k,北京,3-5年,本科,"五险一金,发展良好",https://www.lagou.com/jobs/5820526.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
